# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
5.5005500000000000e+05,-1.9958767084934714e+00,3.2918325920837432e-02,9.9863465964664777e-01,4.0612939964628225e-03,-1.6498438312432051e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.6005600000000000e+05,-1.9958932018205615e+00,3.2786922270361174e-02,9.9864029268972065e-01,4.0440504663594723e-03,-1.5904825844973725e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.7005700000000000e+05,-1.9958915740428875e+00,3.2799891001518588e-02,9.9863871112608060e-01,4.0518948568109003e-03,-1.3874094813068374e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.8005800000000000e+05,-1.9957762189056443e+00,3.3718887447912849e-02,9.9859667028130383e-01,4.1883198806234034e-03,-1.4098464095274710e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.9005900000000000e+05,-1.9957800186424879e+00,3.3688617889465533e-02,9.9859588170494029e-01,4.1968422201001943e-03,-1.3868400982967546e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.0006000000000000e+05,-1.9957170307190555e+00,3.4190378944110478e-02,9.9857762090222335e-01,4.2432126565241646e-03,-1.4092885438071098e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.1006100000000000e+05,-1.9957249545940345e+00,3.4127259194830728e-02,9.9858208808429449e-01,4.2243841914646474e-03,-1.4390248700110811e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.2006200000000000e+05,-1.9956939164877840e+00,3.4374498676870147e-02,9.9856705797730194e-01,4.2833553326109275e-03,-1.4077586915957185e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.3006300000000000e+05,-1.9957114786986512e+00,3.4234604750981390e-02,9.9857393175823028e-01,4.2597534667483394e-03,-1.3968882032333738e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.4006400000000000e+05,-1.9957034942309646e+00,3.4298206304990586e-02,9.9857434126754729e-01,4.2493166143953154e-03,-1.3744209481997641e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.5006500000000000e+05,-1.9956803721525531e+00,3.4482386040613378e-02,9.9856396987336471e-01,4.2883041822663337e-03,-1.4283615565428209e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.6006600000000000e+05,-1.9956670408767727e+00,3.4588574846763365e-02,9.9855921534049330e-01,4.3034453920727245e-03,-1.4235740246675666e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.7006700000000000e+05,-1.9957018646147049e+00,3.4311187211200078e-02,9.9857101922520142e-01,4.2675813192776246e-03,-1.4599557053270015e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.8006800000000000e+05,-1.9957150776623793e+00,3.4205936463207465e-02,9.9857438839865365e-01,4.2606177967057235e-03,-1.3248188760092874e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.9006900000000000e+05,-1.9957568907051562e+00,3.3872858452799193e-02,9.9858780395907598e-01,4.2220897600682150e-03,-1.3615410254180796e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.0007000000000000e+05,-1.9957775108169145e+00,3.3708595805078900e-02,9.9859440820157097e-01,4.2031588542732479e-03,-1.2465342305884773e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.1007100000000000e+05,-1.9957891001067511e+00,3.3616272434347394e-02,9.9859941807898467e-01,4.1847451139735981e-03,-1.2734451357768758e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.2007200000000000e+05,-1.9958031450025902e+00,3.3504385611800913e-02,9.9860290002402563e-01,4.1779373050649937e-03,-1.1915624049562330e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.3007300000000000e+05,-1.9958085866444586e+00,3.3461035060662780e-02,9.9860423195774617e-01,4.1754022242703748e-03,-1.0832748909684631e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.4007400000000000e+05,-1.9957706417679528e+00,3.3763315972157315e-02,9.9859539364785521e-01,4.1903882048037744e-03,-1.1225027531365488e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.5007500000000000e+05,-1.9957630395191890e+00,3.3823876510023609e-02,9.9859345710910774e-01,4.1943834129267721e-03,-1.1608578445096832e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.6007600000000000e+05,-1.9957714254138121e+00,3.3757073317378428e-02,9.9859420287948297e-01,4.1983030747378969e-03,-1.0676361426032178e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.7007700000000000e+05,-1.9957977737031016e+00,3.3547175551785102e-02,9.9860272079868273e-01,4.1736393543394534e-03,-1.1689876738158189e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.8007800000000000e+05,-1.9958208825116752e+00,3.3363079814673569e-02,9.9861166127611789e-01,4.1432049173191210e-03,-1.1162345895042618e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.9007900000000000e+05,-1.9957902464338604e+00,3.3607140428767224e-02,9.9860138975027524e-01,4.1740834896866197e-03,-1.1384307719569152e-01,0.0000000000000000e+00,-2.0000000000000000e+00
8.0008000000000000e+05,-1.9957828742699086e+00,3.3665869243037605e-02,9.9859949929443759e-01,4.1780328943779033e-03,-1.0820852149371743e-01,0.0000000000000000e+00,-2.0000000000000000e+00
8.1008100000000000e+05,-1.9957904976347782e+00,3.3605139281123186e-02,9.9860012443338375e-01,4.1819124280677578e-03,-9.9315863281288580e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.2008200000000000e+05,-1.9957979350618786e+00,3.3545890105994403e-02,9.9860317313214797e-01,4.1710917677959536e-03,-8.8395179453536449e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.3008300000000000e+05,-1.9958124215431394e+00,3.3430484401554494e-02,9.9860614836749495e-01,4.1677600486762501e-03,-9.4239790669265633e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.4008400000000000e+05,-1.9958241823646699e+00,3.3336791270947685e-02,9.9860964794809992e-01,4.1585623607574007e-03,-1.0112906585721514e-01,0.0000000000000000e+00,-2.0000000000000000e+00
8.5008500000000000e+05,-1.9958544883045750e+00,3.3095352494532548e-02,9.9862012337720396e-01,4.1261318033747330e-03,-9.4700944386148997e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.6008600000000000e+05,-1.9958422327303253e+00,3.3192990042721249e-02,9.9861930966646006e-01,4.1187495083767622e-03,-9.9798622681457588e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.7008700000000000e+05,-1.9958394534742863e+00,3.3215131616138649e-02,9.9861736533965917e-01,4.1276147219155845e-03,-9.9715197947770201e-02,0.0000000000000000e+00,-2.0000000000000000e+00
8.8008800000000000e+05,-1.9958299198140168e+00,3.3291083212835915e-02,9.9861489707174012e-01,4.1328633430883777e-03,-1.0225559296381348e-01,0.0000000000000000e+00,-2.0000000000000000e+00
8.9008900000000000e+05,-1.9958273413625742e+00,3.3311624778988858e-02,9.9861192252381803e-01,4.1480991833466874e-03,-9.2979844508358805e-02,0.0000000000000000e+00,-2.0000000000000000e+00
9.0009000000000000e+05,-1.9958137100994244e+00,3.3420219112077376e-02,9.9861012508874203e-01,4.1452325578963389e-03,-9.7282355699098197e-02,0.0000000000000000e+00,-2.0000000000000000e+00
9.1009100000000000e+05,-1.9957937856149226e+00,3.3578946122807096e-02,9.9860452135082334e-01,4.1588680673414480e-03,-1.0021844185469002e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.2009200000000000e+05,-1.9958177686143532e+00,3.3387886847721759e-02,9.9861262516533833e-01,4.1343183865958366e-03,-1.0159355188607984e-01,0.0000000000000000e+00,-2.0000000000000000e+00
