# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
4.3700000000000000e+03,-1.9835026309768933e+00,2.6356691576063169e+00,9.7425875085792724e-01,7.6074123406799483e+00,9.7425646305193325e-01
4.3800000000000000e+03,-1.9835402876055697e+00,2.6299009485723217e+00,9.7431750741839762e-01,7.5906513898362027e+00,9.7431522483451261e-01
4.3900000000000000e+03,-1.9835777727169210e+00,2.6241578857315471e+00,9.7437599635618311e-01,7.5739640382615470e+00,9.7437371897062175e-01
4.4000000000000000e+03,-1.9835923653715064e+00,2.6183962466235973e+00,9.7442853896841630e-01,7.5572495137928488e+00,9.7442626675755506e-01
4.4100000000000000e+03,-1.9836295624574927e+00,2.6127037592433044e+00,9.7448651099523920e-01,7.5407084060217313e+00,9.7448424393561550e-01
4.4200000000000000e+03,-1.9836665912689437e+00,2.6070359244995052e+00,9.7454422076453295e-01,7.5242394575742946e+00,9.7454195883284322e-01
4.4300000000000000e+03,-1.9837034529451592e+00,2.6013925829084474e+00,9.7460167005190701e-01,7.5078421979365517e+00,9.7459941322500565e-01
4.4400000000000000e+03,-1.9837356451249719e+00,2.5957510153006296e+00,9.7465773474442696e-01,7.4914955871931310e+00,9.7465548299932447e-01
4.4500000000000000e+03,-1.9837542125365086e+00,2.5901385853529790e+00,9.7471017748820488e-01,7.4751629862017577e+00,9.7470793080206686e-01
4.4600000000000000e+03,-1.9837771800044834e+00,2.5845016379217851e+00,9.7476350594037209e-01,7.4589173278427916e+00,9.7476126429051790e-01
4.4700000000000000e+03,-1.9837799150078284e+00,2.5788878941055735e+00,9.7481100424960854e-01,7.4426495458368302e+00,9.7480876761350932e-01
4.4800000000000000e+03,-1.9838161124748939e+00,2.5733670588425595e+00,9.7486721713903146e-01,7.4266053107964396e+00,9.7486498549430933e-01
4.4900000000000000e+03,-1.9838254286350478e+00,2.5678093196215923e+00,9.7491649966599869e-01,7.4105137998107242e+00,9.7491427299042532e-01
4.5000000000000000e+03,-1.9838613641413019e+00,2.5623363244810027e+00,9.7497222839369035e-01,7.3946075564140479e+00,9.7497000666518541e-01
4.5100000000000000e+03,-1.9838927067169143e+00,2.5568649142139477e+00,9.7502660164043453e-01,7.3787494398406857e+00,9.7502438483706499e-01
4.5200000000000000e+03,-1.9839283344392833e+00,2.5514384233890453e+00,9.7508184030081835e-01,7.3629789620959487e+00,9.7507962840079632e-01
4.5300000000000000e+03,-1.9839593908629443e+00,2.5460135535572772e+00,9.7513573162657252e-01,7.3472559280555290e+00,9.7513352460825431e-01
