euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
0.957614,0.291304,0,0.956712,0.291038,0
0.955784,0.297321,0,0.954864,0.297044,0
0.953917,0.303327,0,0.952979,0.303037,0
0.952012,0.309321,0,0.951056,0.309019,0
0.950069,0.315302,0,0.949096,0.314989,0
0.948089,0.321272,0,0.947098,0.320946,0
0.946072,0.327229,0,0.945063,0.32689,0
0.944017,0.333173,0,0.94299,0.332822,0
0.941924,0.339105,0,0.940881,0.33874,0
0.939795,0.345023,0,0.938734,0.344645,0
0.937628,0.350929,0,0.93655,0.350537,0
0.935425,0.35682,0,0.934329,0.356414,0
0.933184,0.362698,0,0.932071,0.362278,0
0.930906,0.368561,0,0.929776,0.368127,0
0.928592,0.37441,0,0.927445,0.373962,0
0.926241,0.380245,0,0.925077,0.379782,0
0.923853,0.386065,0,0.922672,0.385586,0
0.921429,0.39187,0,0.920232,0.391376,0
0.918968,0.39766,0,0.917754,0.39715,0
0.916471,0.403434,0,0.915241,0.402909,0
0.913938,0.409193,0,0.912691,0.408652,0
0.911369,0.414935,0,0.910106,0.414378,0
0.908763,0.420662,0,0.907484,0.420088,0
0.906122,0.426372,0,0.904827,0.425782,0
0.903445,0.432066,0,0.902134,0.431459,0
0.900732,0.437742,0,0.899405,0.437119,0
0.897984,0.443402,0,0.896641,0.442761,0
0.8952,0.449045,0,0.893841,0.448386,0
0.89238,0.45467,0,0.891006,0.453993,0
0.889526,0.460277,0,0.888136,0.459583,0
0.886636,0.465866,0,0.885231,0.465154,0
0.883711,0.471438,0,0.882291,0.470707,0
0.880751,0.476991,0,0.879316,0.476241,0
0.877756,0.482525,0,0.876306,0.481757,0
0.874727,0.48804,0,0.873262,0.487253,0
0.871663,0.493537,0,0.870183,0.492731,0
0.868565,0.499014,0,0.86707,0.498188,0
0.865432,0.504472,0,0.863923,0.503626,0
0.862265,0.50991,0,0.860742,0.509045,0
0.859064,0.515329,0,0.857526,0.514443,0
0.855828,0.520727,0,0.854277,0.519821,0
0.852559,0.526105,0,0.850994,0.525178,0
0.849257,0.531462,0,0.847677,0.530515,0
0.84592,0.536799,0,0.844327,0.53583,0
0.842551,0.542114,0,0.840944,0.541125,0
0.839148,0.547409,0,0.837528,0.546398,0
0.835711,0.552682,0,0.834078,0.551649,0
0.832242,0.557934,0,0.830595,0.556879,0
0.82874,0.563163,0,0.82708,0.562087,0
0.825204,0.568371,0,0.823532,0.567273,0
0.821637,0.573557,0,0.819952,0.572436,0
0.818036,0.57872,0,0.816339,0.577576,0
0.814404,0.583861,0,0.812694,0.582694,0
0.810739,0.588979,0,0.809016,0.587789,0
0.807042,0.594073,0,0.805307,0.592861,0
0.803313,0.599145,0,0.801566,0.597909,0
0.799553,0.604193,0,0.797794,0.602933,0
0.79576,0.609218,0,0.79399,0.607934,0
0.791936,0.614219,0,0.790154,0.612911,0
0.788081,0.619196,0,0.786288,0.617864,0
0.784195,0.624148,0,0.78239,0.622792,0
0.780277,0.629077,0,0.778462,0.627695,0
0.776329,0.63398,0,0.774502,0.632574,0
0.77235,0.638859,0,0.770513,0.637428,0
0.768341,0.643713,0,0.766492,0.642257,0
0.7643,0.648542,0,0.762442,0.64706,0
0.76023,0.653345,0,0.758361,0.651838,0
0.75613,0.658123,0,0.754251,0.65659,0
0.751999,0.662875,0,0.75011,0.661316,0
0.747839,0.667601,0,0.74594,0.666016,0
0.74365,0.672301,0,0.741741,0.67069,0
0.73943,0.676975,0,0.737512,0.675337,0
0.735182,0.681623,0,0.733255,0.679958,0
0.730904,0.686243,0,0.728968,0.684551,0
0.726598,0.690837,0,0.724652,0.689118,0
0.722263,0.695404,0,0.720308,0.693658,0
0.717899,0.699944,0,0.715936,0.69817,0
0.713506,0.704456,0,0.711535,0.702654,0
0.709086,0.708941,0,0.707106,0.707111,0
0.704637,0.713397,0,0.702649,0.71154,0
0.70016,0.717826,0,0.698165,0.715941,0
0.695656,0.722227,0,0.693652,0.720314,0
0.691124,0.7266,0,0.689113,0.724658,0
0.686565,0.730944,0,0.684546,0.728973,0
0.681978,0.73526,0,0.679953,0.73326,0
0.677365,0.739547,0,0.675332,0.737518,0
0.672724,0.743805,0,0.670685,0.741746,0
0.668057,0.748034,0,0.666011,0.745946,0
0.663364,0.752233,0,0.661311,0.750116,0
